Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_equal_3,maternal,clone7,chisel_5x,0.5086698858647936,0.10789599536862243,0.8789473684210526,0.07317073170731707,0.08823529411764706,0.08,0.015815024273059364,0.12105263157894737,0.9291044776119403,0.07317073170731707,0.941398865784499
CN_equal_3,maternal,clone8,chisel_5x,0.5331121960335443,0.26829292331953475,0.8070175438596491,0.26666666666666666,0.1348314606741573,0.1791044776119403,0.0829311101360245,0.19298245614035087,0.9313929313929314,0.26666666666666666,0.8533333333333334
CN_equal_3,maternal,clone9,chisel_5x,0.49701866574490144,0.10577010708589657,0.8596491228070176,0.07142857142857142,0.06818181818181818,0.06976744186046512,-0.006089489012443661,0.14035087719298245,0.9258555133079848,0.07142857142857142,0.9223484848484849
CN_equal_3,paternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_3,paternal,clone1,chisel_5x,0.5159133231758929,0.12450619555882714,0.8649122807017544,0.07692307692307693,0.12121212121212122,0.09411764705882353,0.025056644009063045,0.13508771929824562,0.9106145251396648,0.07692307692307693,0.944015444015444
CN_equal_3,paternal,clone2,chisel_5x,0.4662921348314607,0.031578947368421054,0.8736842105263158,0.0,0.0,0.0,-0.06741573033707882,0.12631578947368421,0.9325842696629213,0.0,0.9325842696629213
CN_equal_3,paternal,clone3,chisel_5x,0.5409475605708596,0.2020029946040625,0.8122807017543859,0.12345679012345678,0.21739130434782608,0.15748031496062992,0.06079645200036965,0.18771929824561404,0.8645038167938931,0.12345679012345678,0.9263803680981595
CN_equal_3,paternal,clone4,chisel_5x,0.5471095561612628,0.2082835635187259,0.8263157894736842,0.1388888888888889,0.2127659574468085,0.16806722689075632,0.07585732534145628,0.1736842105263158,0.8814531548757171,0.1388888888888889,0.9257028112449799
CN_equal_3,paternal,clone5,chisel_5x,0.4576107899807322,0.04473684210526316,0.8333333333333334,0.0,0.0,0.0,-0.090370907333575,0.16666666666666666,0.9152215799614644,0.0,0.903041825095057
CN_equal_3,paternal,clone6,chisel_5x,0.46888483239296386,0.06145436053902874,0.843859649122807,0.022222222222222223,0.021739130434782608,0.02197802197802198,-0.06285355122564429,0.156140350877193,0.916030534351145,0.022222222222222223,0.9142857142857143
CN_equal_3,paternal,clone7,chisel_5x,0.4857486953030911,0.10407642953228113,0.8350877192982457,0.06382978723404255,0.05660377358490566,0.06,-0.03002806720750506,0.1649122807017544,0.9148936170212766,0.06382978723404255,0.904397705544933
